image_name,label
694550568,Positive
694550569,Positive
694550570,Negative
694550571,Positive
694550572,Positive
694550573,negative
694550574,Negative
694550575,Negative
694550576,Positive
694550577,Positive
694550578,Negative
694550579,Negative
694550580,Positive
694550581,negative
694550582,Negative
694550583,Positive
694550584,Positive
694550585,Positive
694550586,Positive
694550587,Positive
694550588,Positive
694550589,Positive
694550590,Positive
694550591,Positive
694550592,positive
694550593,Positive
694550594,Positive
694550595,Positive
694550596,negative
694550597,positive
694550598,negative
694550599,positive
694550600,Positive
694550601,Positive
694550602,negative
694550603,Positive
694550604,Positive
694550605,Positive
694550606,Negative
694550607,Negative
694550608,positive
694550609,Positive
694550610,Positive
694550611,negative
694550612,Negative
694550613,Positive
694550614,negative
694550615,Positive
694550616,positive
694550618,negative
694550619,Positive
694550620,negative
694550622,Positive
694550623,Negative
694550624,Positive
694550625,Negative
694550626,Positive
694550627,Negative
694550628,Negative
694550629,Positive
694550630,Positive
694550631,Negative
694550632,Positive
694550634,Positive
694550635,Positive
694550636,Positive
694550637,negative
694550638,positive
694550639,negative
694550640,Positive
694550641,positive
694550642,positive
694550643,Negative
694550644,negative
694550645,Negative
694550646,Negative
694550647,Positive
694550648,Positive
694550649,positive
694550650,Positive
694550651,Negative
694550652,Negative
694550653,Positive
694550654,Negative
694550655,negative
694550656,Negative
694550657,Positive
694550658,Positive
694550659,Positive
694550660,negative
694550661,Positive
694550662,negative
694550663,positive
694550664,negative
694550665,Positive
694550666,Positive
694550667,negative
694550668,Positive
694550669,Negative
694550670,Negative
694550671,Positive
694550672,Positive
694550673,Positive
694550674,Positive
694550675,Positive
694550676,negative
694550677,negative
694550678,Positive
694550679,negative
694550680,Positive
694550681,negative
694550682,Positive
694550683,Positive
694550684,Positive
694550685,negative
694550686,Positive
694550687,Negative
694550688,negative
694550689,Positive
694550690,Positive
694550691,Positive
694550692,positive
694550693,Negative
694550694,Negative
694550695,Positive
694550697,positive
694550698,Negative
694550699,positive
694550700,Negative
694550701,Positive
694550702,Positive
694550703,Negative
694550704,Positive
694550705,Positive
694550706,Positive
694550707,negative
694550708,Negative
694550709,Negative
694550710,Positive
694550711,Positive
694550712,Negative
694550714,Negative
694550716,positive
694550717,Positive
694550718,Negative
694550719,Positive
694550720,Positive
694550721,positive
694550722,Positive
694550723,Positive
694550724,Negative
694550725,Positive
694550727,Negative
694550728,Positive
694550729,Positive
694550730,Positive
694550731,Positive
694550732,Positive
694550733,negative
694550734,Negative
694550735,positive
694550736,Positive
694550737,Positive
694550738,negative
694550739,Negative
694550740,Negative
694550741,positive
694550742,Positive
694550743,negative
694550744,Positive
